date,version,phase1,quadrant,signal,mci,best_factor,ticker,action,weight_change,amount_usd,amount_rmb,fee_rate,fee_usd,skip_reason
2007-01-03,v5.9,HEALTHY,1,SHV_prefer,,VTI+QQQ,SHV,BUY,0.315,315000.0,2397150.0,0.03,9450.0,
2007-01-03,v5.9,HEALTHY,1,SHV_prefer,,VTI+QQQ,TLT,BUY,0.135,135000.0,1027350.0,0.03,4050.0,
2007-01-03,v5.9,HEALTHY,1,SHV_prefer,,VTI+QQQ,VTI,BUY,0.18,180000.0,1369800.0,0.03,5400.0,
2007-01-03,v5.9,HEALTHY,1,SHV_prefer,,VTI+QQQ,QQQ,BUY,0.12,120000.0,913200.0,0.03,3600.0,
2007-01-03,v5.9,HEALTHY,1,SHV_prefer,,VTI+QQQ,GLD,BUY,0.25,250000.0,1902500.0,0.03,7500.0,
2020-02-11,v5.9,HEALTHY,4,SHV_prefer,,VTI,VTI,BUY,0.06,230613.90094015482,1591235.9164870684,0.03,6918.417028204644,
2020-02-11,v5.9,HEALTHY,4,SHV_prefer,,VTI,GLD,SELL,-0.04999999999999999,192178.2507834623,1326029.93040589,0.0,0.0,
2020-02-11,v5.9,HEALTHY,4,SHV_prefer,,VTI,SHV,SELL,-0.06999999999999999,269049.5510968473,1856441.9025682462,0.0,0.0,
2020-02-11,v5.9,HEALTHY,4,SHV_prefer,,VTI,TLT,SELL,-0.03,115306.95047007741,795617.9582435342,0.0,0.0,
2020-02-11,v5.9,HEALTHY,4,SHV_prefer,,VTI,QQQ,BUY,0.09000000000000002,345920.8514102323,2386853.874730603,0.03,10377.625542306969,
2021-10-11,v5.9,HEALTHY,4,SHV_prefer,,VTI,VTI,BUY,0.06,321416.9484537083,2073139.3175264187,0.03,9642.50845361125,
2021-10-11,v5.9,HEALTHY,4,SHV_prefer,,VTI,GLD,SELL,-0.04999999999999999,267847.45704475685,1727616.0979386817,0.0,0.0,
2021-10-11,v5.9,HEALTHY,4,SHV_prefer,,VTI,SHV,SELL,-0.09000000000000004,482125.42268056265,3109708.976289629,0.0,0.0,
2021-10-11,v5.9,HEALTHY,4,SHV_prefer,,VTI,TLT,SELL,-0.010000000000000009,53569.491408951435,345523.21958773676,0.0,0.0,
2021-10-11,v5.9,HEALTHY,4,SHV_prefer,,VTI,QQQ,BUY,0.09000000000000002,482125.4226805626,3109708.976289629,0.03,14463.762680416878,
2026-06-10,v5.9,HEALTHY,4,TLT_prefer,,QUAL,VTI,SELL,-0.05999999999999994,849718.0791856413,5778082.938462361,0.0,0.0,
2026-06-10,v5.9,HEALTHY,4,TLT_prefer,,QUAL,GLD,BUY,0.1,1416196.7986427369,9630138.23077061,0.03,42485.90395928211,
2026-06-10,v5.9,HEALTHY,4,TLT_prefer,,QUAL,QQQ,SELL,-0.040000000000000036,566478.7194570953,3852055.2923082476,0.0,0.0,
2007-01-03,v6.8.1,HEALTHY,1,SHV_prefer,,VTI+QQQ,SHV,BUY,0.2815,281500.0,2142215.0,0.03,8445.0,
2007-01-03,v6.8.1,HEALTHY,1,SHV_prefer,,VTI+QQQ,TLT,BUY,0.1206,120600.0,917766.0,0.03,3618.0,
2007-01-03,v6.8.1,HEALTHY,1,SHV_prefer,,VTI+QQQ,VTI,BUY,0.3093,309300.0,2353773.0,0.03,9279.0,
2007-01-03,v6.8.1,HEALTHY,1,SHV_prefer,,VTI+QQQ,XLE,BUY,0.0309,30900.0,235149.0,0.03,927.0,
2007-01-03,v6.8.1,HEALTHY,1,SHV_prefer,,VTI+QQQ,QQQ,BUY,0.2062,206200.0,1569182.0,0.03,6186.0,
2007-01-03,v6.8.1,HEALTHY,1,SHV_prefer,,VTI+QQQ,GLD,BUY,0.0515,51500.0,391915.0,0.03,1545.0,
2020-02-11,v6.8.1,HEALTHY,4,SHV_prefer,,VTI,GLD,SELL,-0.1031,316967.05859269865,2187072.7042896207,0.0,0.0,
2020-02-11,v6.8.1,HEALTHY,4,SHV_prefer,,VTI,SHV,BUY,0.11549999999999996,355089.18785118026,2450115.3961731438,0.03,10652.675635535408,
2020-02-11,v6.8.1,HEALTHY,4,SHV_prefer,,VTI,TLT,BUY,0.0495,152181.08050764873,1050049.4555027762,0.03,4565.432415229462,
2020-02-11,v6.8.1,HEALTHY,4,SHV_prefer,,VTI,XLE,SELL,-0.0619,190303.20976613043,1313092.1473863,0.0,0.0,
2021-10-11,v6.8.1,HEALTHY,4,SHV_prefer,,VTI,GLD,SELL,-0.1031,444220.84999061393,2865224.48243946,0.0,0.0,
2021-10-11,v6.8.1,HEALTHY,4,SHV_prefer,,VTI,SHV,BUY,0.11549999999999996,497647.9939274093,3209829.56083179,0.03,14929.439817822278,
2021-10-11,v6.8.1,HEALTHY,4,SHV_prefer,,VTI,TLT,BUY,0.0495,213277.7116831755,1375641.240356482,0.03,6398.331350495265,
2021-10-11,v6.8.1,HEALTHY,4,SHV_prefer,,VTI,XLE,SELL,-0.0619,266704.85561997094,1720246.3187488127,0.0,0.0,
2026-06-10,v6.8.1,HEALTHY,4,TLT_prefer,,QUAL,VTI,SELL,-0.3093,3276257.7132860315,22278552.450345013,0.0,0.0,
2026-06-10,v6.8.1,HEALTHY,4,TLT_prefer,,QUAL,QUAL,BUY,0.5155,5460429.522143384,37130920.75057501,0.03,163812.88566430152,
2026-06-10,v6.8.1,HEALTHY,4,TLT_prefer,,QUAL,QQQ,SELL,-0.2062,2184171.808857354,14852368.300230006,0.0,0.0,
