lag,correlation,p_value
-6,-0.24390764337991216,0.0065552244072509345
-5,-0.23283533480860216,0.009258603451373072
-4,-0.2387499124339414,0.007331903006557379
-3,-0.23971072807245242,0.0068620902543812335
-2,-0.21449995109046438,0.015450301589087861
-1,-0.15933915564786366,0.07241048737268425
0,-0.12623377857144197,0.1540144422362782
1,-0.13152886525958693,0.1388949010460915
2,-0.17255314289553023,0.0523887350529909
3,-0.2081506494669922,0.01934173728168654
4,-0.2165176222949296,0.015297290889922766
5,-0.22322765847224907,0.012698530952276457
6,-0.2461424901132175,0.006063366552487485
