event,event_date,estimated_scale,csi300_level,pre_30d_ret%,post_30d_ret%,post_90d_ret%,post_180d_ret%,post_360d_ret%,vol_change_30d%,context
2015年7月 股灾救市,2015-07-06,~1.5万亿,3998.5,-23.6,-3.3,-17.6,-13.2,-21.1,-29.8,证金公司+汇金入市，投入~1.5万亿。证监会宣布央行将提供流动性支持，暂停IPO，21家券商出资1200亿
2015年8-9月 二次探底,2015-08-26,~5000亿,3025.7,-20.8,6.8,24.1,3.1,10.3,-40.8,二次探底至2850，证金继续买入，两融降息
2016年1月 熔断后介入,2016-01-07,~2000亿,3294.4,-9.1,-10.6,-1.1,-2.6,1.5,-33.1,熔断机制实施4天后取消，国家队再次大量买入
2018年10月 股权质押危机,2018-10-19,~1000亿,3134.9,-5.4,5.1,-0.8,30.4,26.1,9.8,股权质押爆仓风险，刘鹤讲话+深圳国资+国家队入场
2020年2月 疫情护盘,2020-02-03,~500亿,3688.4,-11.0,11.6,6.7,29.4,45.8,30.9,疫情后A股开盘暴跌，国家队买入护盘
2022年3-4月 封城护盘,2022-03-16,~300亿,4156.1,-8.7,0.8,1.6,-1.1,-3.5,-9.8,上海封城、俄乌冲突，金融委会议表态，国家队入市
2023年10月 汇金增持,2023-10-23,~100亿,3474.2,-7.1,2.0,-7.3,1.6,9.0,5.5,汇金公告增持四大行，宣布买入ETF（10月23日首次公告买入ETF）
2024年2月 扩大ETF增持,2024-02-06,~1000亿,3311.7,-0.5,6.6,10.5,1.0,14.6,28.5,汇金扩大ETF增持范围，中央汇金公告将持续扩大ETF增持
2024年10月 SFISF落地,2024-10-10,~5000亿(首期),3997.8,25.1,3.3,-5.2,-8.7,17.8,41.8,央行SFISF（证券基金保险互换便利）落地，首期5000亿，央行创设工具支持资本市场
2025年1月 持续ETF增持,2025-01-13,持续,3722.5,-5.4,5.3,1.0,7.9,27.3,3.3,2025年国家队持续ETF增持，沪深300ETF份额持续扩张
